name	city	country	visitors	city_population	urban_population	longitude	latitude	museum_type
Louvre	Paris	France	7726321	2102650	10858852.0	48.86111	2.33583	Art museum and historic site
Vatican Museums	Vatican City	Vatican City	5080866	764		41.90639	12.45444	Art museum
Natural History Museum	London	United Kingdom	4654608	8799800	9787426.0	51.49611	-0.17639	Natural history museum
British Museum	London	United Kingdom	4097253	8799800	9787426.0	51.51944	-0.12694	
National Museum of Natural History	Washington, D.C.	United States	3900000	689545	5174759.0	38.8913	-77.0259	Natural History
Tate Modern	London	United Kingdom	3883160	8799800	9787426.0	51.50778	-0.09944	
National Museum of Korea	Seoul	South Korea	3411381	9659322		37.52389	126.98028	History and Art museum
Guangdong Museum	Guangzhou	China	3359700	18676605	16492590.0	23.11475	113.326336	
Mevlana Museum	Konya	Turkey	3352505	2277017	1390051.0	37.87056	32.50472	Mosque
Musée d'Orsay	Paris	France	3270182	2102650	10858852.0	48.86	2.32639	Art museum, Design/Textile Museum, Historic site[1]
National Gallery of Art	Washington, D.C.	United States	3256433	689545	5174759.0	38.89139	-77.02	
Metropolitan Museum of Art	New York City	United States	3208832	8804190	19426449.0	40.7794	-73.9631	Art museum
Centre Pompidou	Paris	France	3009570	2102650	10858852.0	48.86064194	2.352245	Cultural center
State Hermitage Museum	Saint Petersburg	Russia	2812913	5601911		59.94056	30.31361	
National Gallery	London	United Kingdom	2727119	8799800	9787426.0	51.50889	-0.12833	Art museum
State Russian Museum	Saint Petersburg	Russia	2651688	5601911		59.9387417	30.3323833	Art museum and Historic site
National Museum of Marine Science and Technology	Keelung	Taiwan	2582444	362487		25.14056	121.79861	museum
Prado Museum	Madrid	Spain	2456724	3223334	6211000.0	40.41389	-3.69222	Art museum, Historic site
Victoria and Albert Museum	London	United Kingdom	2370261	8799800	9787426.0	51.49639	-0.17194	Art museum
London Science Museum	London	United Kingdom	2334930	8799800	9787426.0	51.4975	-0.174722	
Chinese Aviation Museum	Beijing	China	2300000	21893095	21893095.0	40.183167	116.35675	Aviation museum
National Museum of Natural Science	Taichung	Taiwan	2299808	2831323	2635000.0	24.1575	120.66639	Museum
Galleria degli Uffizi	Florence	Italy	2222692	367150		43.76833	11.25528	Art museum, design/textile museum, historic site
Museum of Modern Art	New York City	United States	2190440	8804190	19426449.0	40.76167	-73.9775	Art museum
Topography of Terror	Berlin	Germany	2100000	3850809	4890363.0	52.50694	13.38278	
M+	Hong Kong	China	2034331	7498100		22.300958	114.159645	Art museum
Opium War Museum	Dongguan	China	2025800	10466625	10466625.0			
